,v,vw,o,c,h,l,t,n,UNIXTIME
0,15566.0,185.5281,185.55,185.18,186.0,185.11,1706518800000,584,2024-01-29 04:00:00-05:00
1,7512.0,185.5009,185.1,185.65,185.7,185.1,1706518860000,295,2024-01-29 04:01:00-05:00
2,5223.0,185.7394,185.68,185.78,185.8,185.68,1706518920000,160,2024-01-29 04:02:00-05:00
3,17121.0,185.9354,185.88,185.89,186.0,185.82,1706518980000,269,2024-01-29 04:03:00-05:00
4,4649.0,185.9703,185.94,185.94,186.0,185.94,1706519040000,146,2024-01-29 04:04:00-05:00
5,4148.0,185.9744,186.0,185.99,186.0,185.94,1706519100000,151,2024-01-29 04:05:00-05:00
6,3283.0,185.8993,185.96,185.83,185.96,185.83,1706519160000,184,2024-01-29 04:06:00-05:00
7,8389.0,185.7545,185.83,185.67,185.83,185.67,1706519220000,320,2024-01-29 04:07:00-05:00
8,6426.0,185.6335,185.61,185.65,185.66,185.6,1706519280000,184,2024-01-29 04:08:00-05:00
9,7883.0,185.5447,185.61,185.52,185.63,185.48,1706519340000,288,2024-01-29 04:09:00-05:00
10,3866.0,185.3396,185.45,185.27,185.45,185.27,1706519400000,164,2024-01-29 04:10:00-05:00
11,1518.0,185.3112,185.32,185.32,185.32,185.32,1706519460000,63,2024-01-29 04:11:00-05:00
12,1592.0,185.3683,185.35,185.36,185.36,185.35,1706519520000,85,2024-01-29 04:12:00-05:00
13,4340.0,185.4234,185.45,185.46,185.46,185.39,1706519580000,139,2024-01-29 04:13:00-05:00
14,2283.0,185.58,185.6,185.55,185.6,185.55,1706519640000,76,2024-01-29 04:14:00-05:00
15,1171.0,185.5714,185.59,185.59,185.59,185.59,1706519700000,59,2024-01-29 04:15:00-05:00
16,3290.0,185.6053,185.63,185.58,185.63,185.58,1706519760000,114,2024-01-29 04:16:00-05:00
17,3055.0,185.5027,185.51,185.45,185.51,185.45,1706519820000,157,2024-01-29 04:17:00-05:00
18,1905.0,185.541,185.55,185.55,185.55,185.55,1706519940000,79,2024-01-29 04:19:00-05:00
19,2859.0,185.4639,185.52,185.46,185.52,185.45,1706520000000,116,2024-01-29 04:20:00-05:00
20,2706.0,185.3618,185.4,185.33,185.4,185.32,1706520060000,138,2024-01-29 04:21:00-05:00
21,6239.0,185.2533,185.33,185.12,185.33,185.12,1706520120000,245,2024-01-29 04:22:00-05:00
22,12999.0,185.0162,185.1,184.99,185.1,184.99,1706520180000,726,2024-01-29 04:23:00-05:00
23,9708.0,184.8431,184.89,184.8,185.0,184.76,1706520240000,305,2024-01-29 04:24:00-05:00
