,v,vw,o,c,h,l,t,n,UNIXTIME
0,594.0,189.4403,189.41,189.41,189.41,189.41,1707382800000,44,2024-02-08 04:00:00-05:00
1,451.0,189.4512,189.45,189.45,189.45,189.45,1707382860000,24,2024-02-08 04:01:00-05:00
2,381.0,189.4869,189.49,189.49,189.49,189.49,1707382920000,15,2024-02-08 04:02:00-05:00
3,589.0,189.4526,189.45,189.45,189.45,189.45,1707383160000,23,2024-02-08 04:06:00-05:00
4,195.0,189.4298,189.43,189.43,189.43,189.43,1707383340000,8,2024-02-08 04:09:00-05:00
5,247.0,189.4588,189.46,189.46,189.46,189.46,1707383760000,8,2024-02-08 04:16:00-05:00
6,204.0,189.4798,189.48,189.48,189.48,189.48,1707383880000,4,2024-02-08 04:18:00-05:00
7,150.0,189.4569,189.45,189.45,189.45,189.45,1707383940000,12,2024-02-08 04:19:00-05:00
8,2414.0,189.4855,189.49,189.5,189.5,189.49,1707384060000,38,2024-02-08 04:21:00-05:00
9,217.0,189.4435,189.44,189.44,189.44,189.44,1707384300000,15,2024-02-08 04:25:00-05:00
10,683.0,189.4192,189.42,189.42,189.42,189.42,1707384480000,19,2024-02-08 04:28:00-05:00
11,173.0,189.4281,189.43,189.43,189.43,189.43,1707384660000,6,2024-02-08 04:31:00-05:00
12,697.0,189.4027,189.39,189.39,189.39,189.39,1707384840000,52,2024-02-08 04:34:00-05:00
13,819.0,189.4341,189.4,189.44,189.44,189.4,1707384960000,30,2024-02-08 04:36:00-05:00
14,693.0,189.4051,189.4,189.41,189.41,189.4,1707385020000,20,2024-02-08 04:37:00-05:00
15,405.0,189.4478,189.45,189.45,189.45,189.45,1707385500000,14,2024-02-08 04:45:00-05:00
16,220.0,189.4492,189.45,189.45,189.45,189.45,1707385560000,10,2024-02-08 04:46:00-05:00
17,542.0,189.5012,189.5,189.5,189.5,189.5,1707387840000,23,2024-02-08 05:24:00-05:00
18,2271.0,189.5816,189.59,189.59,189.59,189.59,1707387900000,49,2024-02-08 05:25:00-05:00
19,628.0,189.599,189.6,189.6,189.6,189.6,1707388080000,14,2024-02-08 05:28:00-05:00
20,690.0,189.6,189.6,189.6,189.6,189.6,1707388140000,12,2024-02-08 05:29:00-05:00
21,527.0,189.6071,189.61,189.6,189.61,189.6,1707388560000,20,2024-02-08 05:36:00-05:00
22,842.0,189.5522,189.55,189.55,189.55,189.55,1707388920000,21,2024-02-08 05:42:00-05:00
23,1207.0,189.573,189.57,189.57,189.57,189.57,1707389520000,20,2024-02-08 05:52:00-05:00
24,728.0,189.5916,189.59,189.59,189.59,189.59,1707390000000,28,2024-02-08 06:00:00-05:00
25,684.0,189.5544,189.55,189.55,189.55,189.55,1707390840000,23,2024-02-08 06:14:00-05:00
26,652.0,189.561,189.57,189.55,189.57,189.55,1707391080000,18,2024-02-08 06:18:00-05:00
27,1120.0,189.5668,189.56,189.57,189.57,189.56,1707391260000,22,2024-02-08 06:21:00-05:00
28,414.0,189.57,189.57,189.57,189.57,189.57,1707391320000,10,2024-02-08 06:22:00-05:00
29,1824.0,189.5718,189.58,189.55,189.58,189.55,1707391440000,42,2024-02-08 06:24:00-05:00
30,454.0,189.5072,189.5,189.5,189.5,189.5,1707391500000,43,2024-02-08 06:25:00-05:00
31,1358.0,189.4869,189.47,189.51,189.51,189.47,1707392100000,27,2024-02-08 06:35:00-05:00
32,420.0,189.4976,189.49,189.49,189.49,189.49,1707392160000,13,2024-02-08 06:36:00-05:00
33,550.0,189.4969,189.48,189.48,189.48,189.48,1707392220000,16,2024-02-08 06:37:00-05:00
34,950.0,189.4266,189.45,189.43,189.45,189.43,1707392820000,88,2024-02-08 06:47:00-05:00
35,270.0,189.3785,189.39,189.37,189.39,189.37,1707392880000,15,2024-02-08 06:48:00-05:00
36,233.0,189.3489,189.35,189.35,189.35,189.35,1707393120000,13,2024-02-08 06:52:00-05:00
37,458.0,189.3325,189.33,189.33,189.33,189.33,1707393360000,30,2024-02-08 06:56:00-05:00
38,1424.0,189.3932,189.4,189.41,189.41,189.4,1707393540000,32,2024-02-08 06:59:00-05:00
39,8340.0,189.2,189.28,189.2,189.28,189.02,1707393600000,277,2024-02-08 07:00:00-05:00
40,1007.0,189.1642,189.17,189.17,189.17,189.17,1707393660000,14,2024-02-08 07:01:00-05:00
41,1181.0,189.1784,189.18,189.18,189.18,189.18,1707393720000,14,2024-02-08 07:02:00-05:00
42,1101.0,189.1072,189.1,189.1,189.1,189.1,1707394140000,28,2024-02-08 07:09:00-05:00
43,499.0,189.1409,189.15,189.15,189.15,189.15,1707394200000,16,2024-02-08 07:10:00-05:00
44,748.0,189.1899,189.19,189.19,189.19,189.19,1707394260000,11,2024-02-08 07:11:00-05:00
45,970.0,189.1923,189.19,189.2,189.2,189.19,1707394380000,32,2024-02-08 07:13:00-05:00
46,1450.0,189.2587,189.22,189.26,189.3,189.22,1707394440000,27,2024-02-08 07:14:00-05:00
47,205.0,189.2325,189.23,189.23,189.23,189.23,1707394500000,12,2024-02-08 07:15:00-05:00
48,562.0,189.1653,189.16,189.16,189.16,189.16,1707394560000,17,2024-02-08 07:16:00-05:00
49,747.0,189.179,189.18,189.18,189.18,189.18,1707394680000,12,2024-02-08 07:18:00-05:00
50,515.0,189.1522,189.15,189.15,189.15,189.15,1707394740000,19,2024-02-08 07:19:00-05:00
51,369.0,189.1805,189.18,189.18,189.18,189.18,1707394800000,14,2024-02-08 07:20:00-05:00
52,625.0,189.2345,189.22,189.26,189.26,189.22,1707394920000,10,2024-02-08 07:22:00-05:00
53,561.0,189.2616,189.28,189.26,189.28,189.26,1707395880000,27,2024-02-08 07:38:00-05:00
54,207.0,189.2997,189.3,189.3,189.3,189.3,1707396180000,6,2024-02-08 07:43:00-05:00
55,303.0,189.3078,189.31,189.31,189.31,189.31,1707396480000,10,2024-02-08 07:48:00-05:00
56,1219.0,189.2485,189.26,189.22,189.26,189.22,1707396900000,50,2024-02-08 07:55:00-05:00
57,1088.0,189.1808,189.2,189.15,189.2,189.15,1707396960000,57,2024-02-08 07:56:00-05:00
58,544.0,189.1706,189.17,189.17,189.17,189.17,1707397080000,14,2024-02-08 07:58:00-05:00
59,16018.0,189.2171,189.2,189.17,189.34,189.0915,1707397200000,435,2024-02-08 08:00:00-05:00
60,4219.0,189.243,189.58,189.1,189.58,189.05,1707397260000,2018,2024-02-08 08:01:00-05:00
61,7120.0,189.4599,189.1401,189.46,189.64,189.131,1707397320000,824,2024-02-08 08:02:00-05:00
62,1241.0,189.4871,189.49,189.53,189.62,189.41,1707397380000,140,2024-02-08 08:03:00-05:00
63,1391.0,189.5048,189.61,189.46,189.61,189.46,1707397440000,171,2024-02-08 08:04:00-05:00
64,310.0,189.2454,189.25,189.25,189.25,189.25,1707397560000,13,2024-02-08 08:06:00-05:00
65,2074.0,189.2339,189.23,189.23,189.24,189.23,1707397620000,34,2024-02-08 08:07:00-05:00
66,310.0,189.2264,189.24,189.24,189.24,189.24,1707397740000,18,2024-02-08 08:09:00-05:00
67,513.0,189.2413,189.2499,189.23,189.25,189.23,1707397800000,8,2024-02-08 08:10:00-05:00
68,137.0,189.2466,189.25,189.25,189.25,189.25,1707397860000,16,2024-02-08 08:11:00-05:00
69,1573.0,189.185,189.18,189.2,189.2,189.18,1707397980000,21,2024-02-08 08:13:00-05:00
70,566.0,189.244,189.25,189.25,189.25,189.25,1707398040000,27,2024-02-08 08:14:00-05:00
71,198.0,189.2459,189.25,189.25,189.25,189.25,1707398100000,19,2024-02-08 08:15:00-05:00
72,541.0,189.2039,189.21,189.2,189.21,189.2,1707398160000,32,2024-02-08 08:16:00-05:00
73,564.0,189.2003,189.2,189.2,189.2,189.2,1707398220000,20,2024-02-08 08:17:00-05:00
74,1471.0,189.2,189.2,189.2,189.2,189.2,1707398280000,43,2024-02-08 08:18:00-05:00
75,736.0,189.1961,189.2,189.2,189.2,189.2,1707398340000,37,2024-02-08 08:19:00-05:00
76,886.0,189.1922,189.2099,189.2099,189.2099,189.2099,1707398400000,48,2024-02-08 08:20:00-05:00
77,882.0,189.1728,189.18,189.207,189.207,189.18,1707398460000,42,2024-02-08 08:21:00-05:00
78,327.0,189.1803,189.18,189.18,189.18,189.18,1707398520000,27,2024-02-08 08:22:00-05:00
79,1486.0,189.0699,189.11,189.02,189.11,189.02,1707398580000,77,2024-02-08 08:23:00-05:00
80,868.0,189.1199,189.12,189.13,189.13,189.1112,1707398700000,32,2024-02-08 08:25:00-05:00
81,507.0,189.1509,189.16,189.1103,189.16,189.1103,1707398760000,23,2024-02-08 08:26:00-05:00
82,2686.0,189.1269,189.16,189.13,189.16,189.11,1707398820000,67,2024-02-08 08:27:00-05:00
83,178.0,189.1217,189.13,189.13,189.13,189.13,1707398880000,22,2024-02-08 08:28:00-05:00
84,1414.0,189.1129,189.1,189.12,189.12,189.1,1707399000000,63,2024-02-08 08:30:00-05:00
85,267.0,189.1411,189.1484,189.15,189.15,189.1484,1707399060000,19,2024-02-08 08:31:00-05:00
86,836.0,189.1043,189.1,189.0902,189.1,189.0902,1707399180000,37,2024-02-08 08:33:00-05:00
87,474.0,189.0948,189.0723,189.09,189.09,189.0723,1707399240000,35,2024-02-08 08:34:00-05:00
88,1276.0,189.0903,189.1,189.1,189.1,189.1,1707399300000,53,2024-02-08 08:35:00-05:00
89,3054.0,189.1784,189.16,189.19,189.2,189.16,1707399480000,90,2024-02-08 08:38:00-05:00
90,144.0,189.202,189.2,189.2,189.2,189.2,1707399540000,25,2024-02-08 08:39:00-05:00
91,3604.0,189.231,189.2,189.28,189.28,189.2,1707399600000,91,2024-02-08 08:40:00-05:00
92,1508.0,189.2789,189.32,189.25,189.32,189.25,1707399660000,62,2024-02-08 08:41:00-05:00
93,1496.0,189.2523,189.25,189.23,189.25,189.23,1707399780000,43,2024-02-08 08:43:00-05:00
94,454.0,189.1996,189.2,189.2,189.2,189.2,1707399840000,53,2024-02-08 08:44:00-05:00
95,1167.0,189.2258,189.2,189.2968,189.2968,189.2,1707399900000,52,2024-02-08 08:45:00-05:00
96,451.0,189.2127,189.21,189.21,189.21,189.21,1707399960000,29,2024-02-08 08:46:00-05:00
97,616.0,189.1941,189.19,189.1767,189.2,189.1767,1707400020000,28,2024-02-08 08:47:00-05:00
98,2089.0,189.2487,189.25,189.25,189.25,189.25,1707400080000,46,2024-02-08 08:48:00-05:00
99,492.0,189.2433,189.24,189.24,189.24,189.24,1707400260000,31,2024-02-08 08:51:00-05:00
100,947.0,189.2831,189.28,189.3,189.3,189.28,1707400320000,41,2024-02-08 08:52:00-05:00
101,3466.0,189.3319,189.29,189.41,189.41,189.28,1707400380000,41,2024-02-08 08:53:00-05:00
102,1881.0,189.3743,189.32,189.4,189.4,189.32,1707400440000,52,2024-02-08 08:54:00-05:00
